#REMIND SSP 2 2.6
param Fex:=

0	0.310
1	0.455
2	0.514
3	0.580
4	0.586
5	0.592
6	0.562
7	0.533
8	0.496
9	0.462
10	0.443
11	0.425
12	0.411
13	0.397
14	0.382
15	0.367
16	0.352
17	0.337
18	0.337
19	0.337
20	0.337
21	0.337
22	0.337
23	0.337
24	0.337
25	0.337
26	0.337
27	0.337
28	0.337
29	0.337
30	0.337
31	0.337
32	0.337
33	0.337
34	0.337
35	0.337
36	0.337
37	0.337
38	0.337
39	0.337
40	0.337
41	0.337
42	0.337
43	0.337
44	0.337
45	0.337
46	0.337
47	0.337
48	0.337
49	0.337
50	0.337
51	0.337
52	0.337
53	0.337
54	0.337
55	0.337
56	0.337
57	0.337
58	0.337
59	0.337
60	0.337
61	0.337
62	0.337
63	0.337
64	0.337
65	0.337
66	0.337
67	0.337
68	0.337
69	0.337
70	0.337
71	0.337
72	0.337
73	0.337
74	0.337
75	0.337
76	0.337
77	0.337
78	0.337
79	0.337
80	0.337
81	0.337
82	0.337
83	0.337
84	0.337
85	0.337
86	0.337
87	0.337
88	0.337
89	0.337
90	0.337
91	0.337
92	0.337
93	0.337
94	0.337
95	0.337
96	0.337
97	0.337
98	0.337
99	0.337
100	0.337;







